,e1,e2,e3,e4,e5,e6,e7,e8,e9
0,0.0467142258957485,0.0308234784837216,0.0364279516477624,0.0202378917225839,0.0502237349913861,0.0594633060707229,0.0560112439839086,0.0163347516534645,0.020014182624624
1,0.0475046398521728,0.0685336354996018,0.0394567749456463,0.0519376965815795,0.0338513009851066,0.0382113750321686,0.0497825015241776,,
2,0.0196045885899963,0.0274358093510067,0.0174281969172111,0.0228022335116802,0.0445552297897787,0.0140306120149259,0.0386943180808711,,
3,0.0188156488304206,0.011011780912883,0.0485989859894469,0.0260280374845317,0.0476716164185421,0.025408753865484,0.0506864207157055,,
4,0.0269526001465788,0.0408641270904795,0.0354193604485802,0.0445525934032938,0.0359183045052064,0.0127768183957116,0.0203157552013258,,
5,0.0194535144277799,0.0558759858399075,0.0229882437998569,0.0485161523996476,0.0721897578020036,0.0472993298258218,0.0242831132460894,,
6,0.0453785869856588,0.043950796326856,0.0672760495211959,0.0141584777248399,0.0226099853676116,0.0418470043169452,0.0419792512896541,,
7,0.0574525751198353,0.0232184824289675,0.0335524973529842,0.0423077963725482,0.0416374198758794,0.0580639183226934,0.0283600711924217,,
8,0.0227269159182755,0.0388791519692265,0.0280370338002526,0.047668871901564,0.02292234317491,,,,
9,0.0333203983459422,0.0390376710179277,0.0459170830963122,0.0333904484601471,0.0238115859669464,0.0161449354377774,,,
10,0.0490793947767417,0.0601672832195286,0.0545580404750056,0.0626373868156293,0.0496157567399625,0.0904809304487232,0.0291818143361545,,
11,0.0277452069522592,0.0404894166675902,0.0371010150899858,0.0395915520852872,,,,,
12,0.0400904015026361,0.036683408868144,0.0387587013378853,0.1133433398401986,0.028167189595059,0.0444546040078922,0.0382439612412822,0.0265904084392699,
13,0.04978048995244227,0.04909318554443754,0.04669526710131937,0.0780214140818536,0.03352265845273439,0.0331536811583656,0.049909884321884264,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
